How many times specializaion failed for a symbol during Agda build, without -foptimise-heavily
("Agda.TypeChecking.Monad.Base.$fMonadReduceReaderT",1)
("Agda.TypeChecking.Monad.Base.$fMonadReduceReaderT_$cliftReduce",1)
("Agda.TypeChecking.Monad.Base.$fMonadReduceStateT",1)
("Agda.TypeChecking.Monad.Base.$fMonadReduceWriterT",1)
("Agda.TypeChecking.Monad.Base.$fMonadStConcreteNamesStateT",1)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvBlockT",1)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvBlockT_$caskTC",1)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvExceptT_$cp1MonadTCEnv",1)
("Agda.TypeChecking.Monad.Base.$fMonadTCMExceptT_$cp5MonadTCM",1)
("Agda.TypeChecking.Monad.Base.$fMonadTCMReaderT_$cp2MonadTCM",1)
("Agda.TypeChecking.Monad.Base.$fMonadTCMReaderT_$cp5MonadTCM",1)
("Agda.TypeChecking.Monad.Base.$fMonadTCMWriterT",1)
("Agda.TypeChecking.Monad.Base.$fReadTCStateBlockT_$clocallyTCState",1)
("Agda.TypeChecking.Monad.Base.$fReadTCStateTCMT7",1)
("Agda.TypeChecking.Monad.Base.$fReadTCStateTCMT_$cwithTCState",1)
("Agda.TypeChecking.Monad.Base.C:HasFresh",1)
("Agda.TypeChecking.Monad.Base.useR",1)
("Agda.TypeChecking.Monad.Base.useTC",1)
("Agda.TypeChecking.Monad.Builtin.$fHasBuiltinsExceptT_$cp3HasBuiltins",1)
("Agda.TypeChecking.Monad.Builtin.$fHasBuiltinsMaybeT",1)
("Agda.TypeChecking.Monad.Builtin.$fHasBuiltinsReaderT_$cp1HasBuiltins",1)
("Agda.TypeChecking.Monad.Builtin.$fHasBuiltinsReaderT_$cp2HasBuiltins",1)
("Agda.TypeChecking.Monad.Builtin.$fHasBuiltinsWriterT",1)
("Agda.TypeChecking.Monad.Constraints.C:MonadConstraint",1)
("Agda.TypeChecking.Monad.Context.$fAddContext(,)1_$caddContext",1)
("Agda.TypeChecking.Monad.Context.$fAddContext(,)8_$caddContext",1)
("Agda.TypeChecking.Monad.Context.$fAddContext(,)_$caddContext",1)
("Agda.TypeChecking.Monad.Context.$fAddContextKeepNames_$caddContext",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextBlockT",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextBlockT_$caddCtx",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextBlockT_$caddLetBinding'",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextBlockT_$cwithFreshName",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextMaybeT",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextReaderT1",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextReaderT_$caddCtx",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextReaderT_$caddLetBinding'",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextReaderT_$cupdateContext",1)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextWriterT",1)
("Agda.TypeChecking.Monad.Context.$wmapAbstraction",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugBlockT",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugBlockT_$cverboseBracket",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugExceptT_$cp3MonadDebug",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugMaybeT_$cnowDebugPrinting",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugMaybeT_$ctraceDebugMessage",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugReaderT_$ctraceDebugMessage",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugReaderT_$cverboseBracket",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugStateT1",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugStateT_$ctraceDebugMessage",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugStateT_$cverboseBracket",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugWriterT_$cnowDebugPrinting",1)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugWriterT_$ctraceDebugMessage",1)
("Agda.TypeChecking.Monad.Debug.$fReportSList1_$creportS",1)
("Agda.TypeChecking.Monad.MetaVars.$fIsInstantiatedMetaMetaId_$cisInstantiatedMeta",1)
("Agda.TypeChecking.Monad.MetaVars.$fMonadInteractionPointsStateT",1)
("Agda.TypeChecking.Monad.MetaVars.$fUnFreezeMetaMetaId_$cunfreezeMeta",1)
("Agda.TypeChecking.Monad.MetaVars.$wdontAssignMetas",1)
("Agda.TypeChecking.Monad.MetaVars.C:MonadMetaSolver",1)
("Agda.TypeChecking.Monad.MetaVars.lookupInteractionId",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMChangeT",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMExceptT",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMExceptT_$cp1PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMExceptT_$cp4PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMExceptT_$cp5PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMExceptT_$cp7PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMListT",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMListT_$cp1PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMListT_$cp2PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMListT_$cp4PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMListT_$cp6PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMReaderT_$cp1PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMReaderT_$cp2PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMReaderT_$cp3PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMReaderT_$cp4PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMReaderT_$cp5PureTCM",1)
("Agda.TypeChecking.Monad.Pure.$fPureTCMReaderT_$cp7PureTCM",1)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoBlockT",1)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoExceptT_$cp1HasConstInfo",1)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoExceptT_$cp3HasConstInfo",1)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoIdentityT",1)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoReaderT_$cp1HasConstInfo",1)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoStateT_$cgetConstInfo",1)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoWriterT",1)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoWriterT_$cgetConstInfo",1)
("Agda.TypeChecking.Monad.Trace.$fMonadTraceExceptT_$ctraceCall",1)
("Agda.TypeChecking.Monad.Trace.$fMonadTraceReaderT",1)
("Agda.TypeChecking.Monad.Trace.$fMonadTraceWriterT",1)
("Agda.TypeChecking.Monad.Trace.C:MonadTrace",1)
("Agda.TypeChecking.Names.$fMonadAddContextNamesT",1)
("Agda.TypeChecking.Names.$fMonadDebugNamesT_$cp3MonadDebug",1)
("Agda.TypeChecking.Names.$fMonadReduceNamesT_$cp1MonadReduce",1)
("Agda.TypeChecking.Names.$fMonadReduceNamesT_$cp2MonadReduce",1)
("Agda.TypeChecking.Names.applyN'1",1)
("Agda.TypeChecking.Positivity.$fShowEdge",1)
("Agda.TypeChecking.Positivity.$fShowEdge_$cshowsPrec",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMArg2_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMArg_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMElim'0_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMElim'_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMEqualityView_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMExpr_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMGraph_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMIsForced_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMJudgement_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMLiteral_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMMap_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMModuleName_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMNLPSort_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMOccurrence_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMPattern'0_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMPermutation_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMPolarity_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMProblemId_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMSplitTag_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.$fPrettyTCMTypeCheckingProblem_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.Call.$fPrettyTCMCallInfo_$cprettyTCM",1)
("Agda.TypeChecking.Pretty.Call.sayWhen_$ssayWhere",1)
("Agda.TypeChecking.Pretty.Constraint.prettyRangeConstraint",1)
("Agda.TypeChecking.Primitive.$fToTerm(,)",1)
("Agda.TypeChecking.Primitive.$fToTerm(,)6",1)
("Agda.TypeChecking.Primitive.$fToTermList",1)
("Agda.TypeChecking.Primitive.C:PrimTerm",1)
("Agda.TypeChecking.Primitive.Cubical.Base.$fReduceFamilyOrNot_$creduceB'",1)
("Agda.TypeChecking.ProjectionLike.computeDefType",1)
("Agda.TypeChecking.Records.$wetaExpandRecord'",1)
("Agda.TypeChecking.Records.$worderFields",1)
("Agda.TypeChecking.Reduce.$fInstantiate(,)_$cinstantiate'",1)
("Agda.TypeChecking.Reduce.$fInstantiateDom'_$cinstantiate'",1)
("Agda.TypeChecking.Reduce.$fNormalisePattern'_$cnormalise'",1)
("Agda.TypeChecking.Reduce.$fReduce(,)_$creduceB'",1)
("Agda.TypeChecking.Reduce.$fReduceAbs_$creduce'",1)
("Agda.TypeChecking.Reduce.$fReduceAbs_$creduceB'",1)
("Agda.TypeChecking.Reduce.$fReduceClosure",1)
("Agda.TypeChecking.Reduce.$fReduceClosure2",1)
("Agda.TypeChecking.Rewriting.Confluence.C:AllHoles",1)
("Agda.TypeChecking.Rewriting.NonLinPattern.$fNLPatToTermListList_$cnlPatToTerm1",1)
("Agda.TypeChecking.Rewriting.NonLinPattern.$fNLPatToTermListList_$s$cnlPatToTerm1",1)
("Agda.TypeChecking.Rules.LHS.Problem.$fChooseFlexFlexibleVar_$cchooseFlex",1)
("Agda.TypeChecking.Rules.LHS.Problem.$fPrettyTCMAbsurdPattern_$cprettyTCM",1)
("Agda.TypeChecking.Rules.LHS.Problem.$fPrettyTCMAsBinding_$cprettyTCM",1)
("Agda.TypeChecking.Rules.LHS.Problem.$fPrettyTCMDotPattern_$cprettyTCM",1)
("Agda.TypeChecking.Rules.LHS.Problem.$fPrettyTCMLHSState_$cprettyTCM",1)
("Agda.TypeChecking.Rules.LHS.Problem.$fPrettyTCMLeftoverPatterns_$cprettyTCM",1)
("Agda.TypeChecking.Rules.LHS.Problem.$fPrettyTCMProblemEq_$cprettyTCM",1)
("Agda.TypeChecking.Rules.LHS.Problem.$w$cshowsPrec1",1)
("Agda.TypeChecking.Rules.LHS.Unify.LeftInverse.$fPrettyTCMNoLeftInv_$cprettyTCM",1)
("Agda.TypeChecking.Serialise.Base.$wtickICode",1)
("Agda.TypeChecking.Serialise.Instances.Abstract.$fEmbPrjPattern'",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrj(,,)",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjArg39",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjEither",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjEither1",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjHasEta'",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjHasEta'1",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjImportedName'",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjList2",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjList_$cicode",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjMaybe",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjNamed",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjNonEmpty",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjNonEmpty_$cvalue",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjTrie",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjWithDefault'",1)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjWithDefault'1",1)
("Agda.TypeChecking.Serialise.Instances.Highlighting.$fEmbPrjRangeMap",1)
("Agda.TypeChecking.Serialise.Instances.Highlighting.$fEmbPrjRangeMap1",1)
("Agda.TypeChecking.Serialise.Instances.Internal.$fEmbPrjBuiltin",1)
("Agda.TypeChecking.SizedTypes.Syntax.$fFlexsConstraint'_$cflexs",1)
("Agda.TypeChecking.SizedTypes.Syntax.$fFoldableConstraint'_$cfoldMap",1)
("Agda.TypeChecking.SizedTypes.Syntax.$fPrettySizeExpr'_$cpretty",1)
("Agda.TypeChecking.SizedTypes.Syntax.$fRigidsConstraint'_$crigids",1)
("Agda.TypeChecking.SizedTypes.Syntax.C:Flexs",1)
("Agda.TypeChecking.Substitute.$fEqBlocked'",1)
("Agda.TypeChecking.Substitute.$fEqBlocked'_$c==",1)
("Agda.TypeChecking.Substitute.$fOrdTele_$capplySubst",1)
("Agda.TypeChecking.Substitute.$fSubst(,,)_$capplySubst",1)
("Agda.TypeChecking.Substitute.$fSubstBlocked'",1)
("Agda.TypeChecking.Telescope.$fxPiApplyMList",1)
("Agda.TypeChecking.Warnings.$fMonadWarningReaderT",1)
("Agda.TypeChecking.Warnings.C:MonadWarning",1)
("Agda.Utils.Bag.$fShowBag",1)
("Agda.Utils.Benchmark.$fMonadBenchExceptT",1)
("Agda.Utils.Benchmark.$fMonadBenchStateT",1)
("Agda.Utils.Benchmark.$fNFDataBenchmark_$crnf",1)
("Agda.Utils.Benchmark.$fPrettyBenchmark_$cpretty",1)
("Agda.Utils.Benchmark.billTo",1)
("Agda.Utils.BiMap.$fShowBiMap",1)
("Agda.Utils.BiMap.$fShowBiMap_$cshow",1)
("Agda.Utils.BiMap.mapWithKeyFixedTagsPrecondition1",1)
("Agda.Utils.Favorites.$fSemigroupFavorites_$csconcat",1)
("Agda.Utils.Favorites.$fSemigroupFavorites_$cstimes",1)
("Agda.Utils.Favorites.$fShowFavorites",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$fEqEdge",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$fEqEdge_$c==",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$fOrdEdge",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$fOrdEdge_$c>=",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$fShowEdge",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$fShowEdge_$cshowsPrec",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$fShowGraph",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$w$cshowsPrec",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$w$cshowsPrec1",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$wcomputeNodes",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.clean1",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.filterNodes1",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.fromNodes1",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.reachableFromInternal",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.removeEdge1",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.renameNodes1",1)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.transpose1",1)
("Agda.Utils.HashTable.$winsert",1)
("Agda.Utils.HashTable.$wlookup",1)
("Agda.Utils.HashTable.insert1",1)
("Agda.Utils.HashTable.lookup1",1)
("Agda.Utils.HashTable.toList1",1)
("Agda.Utils.List2.$fFoldableList2_$cfoldMap",1)
("Agda.Utils.List2.$fShowList2",1)
("Agda.Utils.ListT.$fAlternativeListT",1)
("Agda.Utils.ListT.$fAlternativeListT1",1)
("Agda.Utils.ListT.$fAlternativeListT4",1)
("Agda.Utils.ListT.$fApplicativeListT",1)
("Agda.Utils.ListT.$fApplicativeListT2",1)
("Agda.Utils.ListT.$fApplicativeListT_$c<*>",1)
("Agda.Utils.ListT.$fMonadListT",1)
("Agda.Utils.ListT.$fMonadPlusListT",1)
("Agda.Utils.Monad.mapMaybeM",1)
("Agda.Utils.Null.$fNullStateT",1)
("Agda.Utils.POMonoid.C:LeftClosedPOMonoid",1)
("Agda.Utils.POMonoid.C:POMonoid",1)
("Agda.Utils.POMonoid.C:POSemigroup",1)
("Agda.Utils.Parser.MemoisedCPS.$fParserClassParserkrtok1",1)
("Agda.Utils.Parser.MemoisedCPS.$w$cmemoise1",1)
("Agda.Utils.Parser.MemoisedCPS.C:ParserClass",1)
("Agda.Utils.PartialOrd.$fShowInclusion_$cshowsPrec",1)
("Agda.Utils.RangeMap.$fSemigroupRangeMap_$csconcat",1)
("Agda.Utils.RangeMap.$fSemigroupRangeMap_$cstimes",1)
("Agda.Utils.Semigroup.$fSemigroupStateT",1)
("Agda.Utils.Singleton.$fCollectionaSet",1)
("Agda.Utils.Singleton.C:CMaybe",1)
("Agda.Utils.Trie.$fFoldableTrie_$cfoldMap",1)
("Agda.Utils.Trie.$fShowTrie_$cshowsPrec",1)
("Agda.Utils.Update.$fApplicativeChangeT",1)
("Agda.Utils.Update.$fMonadChangeIdentityT",1)
("Agda.Utils.Update.C:MonadChange",1)
("Agda.Utils.Update.C:Updater1",1)
("Agda.Utils.WithDefault.$fShowWithDefault'_$cshowsPrec",1)
("Agda.Utils.Zipper.$fZipperComposeZipper_$cfirstHole",1)
("Agda.Utils.Zipper.$fZipperComposeZipper_$cnextHole",1)
("B.billTo",1)
("Bench.billToCPS",1)
("BiMap.insert",1)
("BiMap.insertLookupWithKey",1)
("BiMap.mapWithKey",1)
("C.splitEllipsis",1)
("C:Ord",1)
("C:Subst",1)
("Control.Exception.Handler",1)
("Control.Monad.Error.Class.$fMonadErroreReaderT_$cthrowError",1)
("Control.Monad.Error.Class.$fMonadErroreStateT0_$cp1MonadError",1)
("Control.Monad.Reader.Class.$fMonadReaderrExceptT_$cask",1)
("Control.Monad.Reader.Class.$fMonadReaderrStateT0",1)
("Control.Monad.Reader.Class.$fMonadReaderrStateT0_$cp1MonadReader",1)
("Control.Monad.Reader.Class.$fMonadReaderrStateT1",1)
("Control.Monad.ST.Trans.runSTT",1)
("Control.Monad.State.Class.$fMonadStatesStateT",1)
("Control.Monad.State.Class.$fMonadStatesWriterT0",1)
("Control.Monad.Trans.Control.C:MonadTransControl",1)
("Control.Monad.Trans.Except.$fApplicativeExceptT",1)
("Control.Monad.Trans.Except.$fApplicativeExceptT1",1)
("Control.Monad.Trans.Except.$fApplicativeExceptT3",1)
("Control.Monad.Trans.Except.$fFunctorExceptT_$c<$",1)
("Control.Monad.Trans.Except.$fMonadExceptT_$cp1Monad",1)
("Control.Monad.Trans.Except.$fMonadFailExceptT_$cp1MonadFail",1)
("Control.Monad.Trans.Except.$fMonadIOExceptT",1)
("Control.Monad.Trans.Except.$fMonadIOExceptT_$cp1MonadIO",1)
("Control.Monad.Trans.Maybe.$fAlternativeMaybeT",1)
("Control.Monad.Trans.Maybe.$fMonadMaybeT1",1)
("Control.Monad.Trans.Maybe.$fMonadMaybeT_$cp1Monad",1)
("Control.Monad.Trans.Reader.$fFunctorReaderT",1)
("Control.Monad.Trans.Reader.$fMonadIOReaderT_$cp1MonadIO",1)
("Control.Monad.Trans.State.Lazy.$fMonadStateT_$cp1Monad",1)
("Control.Monad.Trans.State.Strict.$fMonadStateT",1)
("Control.Monad.Trans.Writer.Lazy.$fFunctorWriterT",1)
("Control.Monad.Trans.Writer.Lazy.$fMonadIOWriterT",1)
("Control.Monad.Trans.Writer.Strict.$fApplicativeWriterT2",1)
("Control.Monad.Trans.Writer.Strict.$fApplicativeWriterT_$cliftA2",1)
("Control.Monad.Trans.Writer.Strict.$fFunctorWriterT_$c<$",1)
("Control.Monad.Writer.Class.$fMonadWriterwExceptT1",1)
("Control.Monad.Writer.Class.$fMonadWriterwExceptT_$clisten",1)
("Control.Monad.Writer.Class.$fMonadWriterwReaderT",1)
("Control.Monad.Writer.Class.$fMonadWriterwReaderT_$cp2MonadWriter",1)
("Control.Monad.Writer.Class.C:MonadWriter",1)
("Data.Either.$fOrdEither",1)
("Data.Either.$fShowEither",1)
("Data.Equivalence.STT.$wcombineEntries",1)
("Data.Equivalence.STT.classDesc1",1)
("Data.Equivalence.STT.classDesc2",1)
("Data.Functor.Compose.$fFunctorCompose",1)
("Data.HashMap.Internal.$fShowHashMap_$cshowsPrec",1)
("Data.HashMap.Internal.$w$cshowsPrec",1)
("Data.HashSet.Internal.$fSemigroupHashSet_$csconcat",1)
("Data.IntMap.Internal.$fOrdIntMap",1)
("Data.IntMap.Internal.$fOrdIntMap_$ccompare",1)
("Data.IntMap.Internal.$fShowIntMap",1)
("Data.IntMap.Internal.nequal",1)
("Data.Map.Internal.$fEqMap",1)
("Data.Map.Internal.$w$crnf",1)
("Data.Sequence.Internal.$fShowSeq",1)
("Data.Sequence.Internal.$w$cshowsPrec",1)
("Data.Set.Internal.$fMonoidSet_$cmconcat",1)
("Data.Set.Internal.$fOrdSet_$cmax",1)
("Data.Set.Internal.$fOrdSet_$cmin",1)
("Data.Set.Internal.$fSemigroupSet",1)
("Data.Set.Internal.$fSemigroupSet_$csconcat",1)
("Data.Set.Internal.$fShowSet",1)
("Data.Set.Internal.combineEq",1)
("Data.Strict.Maybe.$fMonoidMaybe",1)
("Data.Strict.Maybe.$fReadMaybe_$creadsPrec",1)
("Data.Strict.Maybe.$fSemigroupMaybe",1)
("Data.Strict.Tuple.$fShowPair_$cshowsPrec",1)
("E.throw",1)
("Fav.compareFavorites",1)
("Fav.compareWithFavorites",1)
("Fav.union",1)
("GHC.Base.$fOrdNonEmpty_$c<=",1)
("GHC.Base.$fOrdNonEmpty_$cmax",1)
("GHC.Base.$fOrdNonEmpty_$cmin",1)
("GHC.Base.$fSemigroup(,,,,)_$c<>",1)
("GHC.Base.C:MonadPlus",1)
("GHC.Maybe.$fEqMaybe_$c==",1)
("GHC.Read.$fRead(,)1",1)
("GHC.Read.$fReadList_$creadsPrec",1)
("GHC.Show.$fShow(,)_$cshowList",1)
("GHC.Show.$fShow(,,,)_$cshowsPrec",1)
("GHC.Show.$fShowList_$cshow",1)
("Graph.addUniqueInts",1)
("Graph.filterNodesKeepingEdges",1)
("Graph.gaussJordanFloydWarshallMcNaughtonYamada",1)
("Graph.longestPaths",1)
("Graph.lookup",1)
("Graph.topSort",1)
("H.initialize",1)
("Haskeline.completeFilename",1)
("Internal.Helpers.$fArbitraryNonEmpty",1)
("Internal.Helpers.$fCoArbitraryNonEmpty_$ccoarbitrary",1)
("Internal.Helpers.isAlmostSemimodule1",1)
("Internal.Helpers.isMonoidMorphism2",1)
("Internal.TypeChecking.Free.Lazy.$fArbitraryFlexRig'",1)
("Internal.TypeChecking.Free.Lazy.$fArbitraryVarMap'",1)
("Internal.TypeChecking.Free.Lazy.$fArbitraryVarOcc'",1)
("Internal.TypeChecking.Free.Lazy.$fArbitraryVarOcc'1",1)
("Internal.Utils.Maybe.Strict.$fArbitraryMaybe_$carbitrary",1)
("Internal.Utils.RangeMap.$fArbitraryRangeMap",1)
("Internal.Utils.RangeMap.$fArbitraryRangeMap3",1)
("Internal.Utils.RangeMap.$fArbitraryRangeMap_$cshrink",1)
("L.commonPrefix",1)
("Lens.isBuiltinModule",1)
("Lens.isBuiltinModuleWithSafePostulates",1)
("Lens.isPrimitiveModule",1)
("List.downFrom",1)
("List.fastDistinct",1)
("List.isSubsequenceOf",1)
("List.lookup",1)
("List1.groupOn1",1)
("List1.nubM",1)
("M.withScope",1)
("Map.adjustM'",1)
("Matrix.fromLists",1)
("P.prettyList",1)
("P.prettyMap",1)
("PP.prettyList_",1)
("Pa.parseFile",1)
("Prelude.lookup",1)
("Semiring.semiringInvariant",1)
("Set.disjoint",1)
("SynEq.checkSyntacticEquality",1)
("System.Console.Haskeline.getInputCmdLine",1)
("Term.terminatesFilter",1)
("Test.QuickCheck.Arbitrary.$fArbitraryIntMap_$cshrink",1)
("Test.QuickCheck.Arbitrary.$fArbitraryList_$cshrink",1)
("Test.QuickCheck.Arbitrary.$fArbitraryMaybe",1)
("Test.QuickCheck.Arbitrary.$fArbitrarySeq",1)
("Test.QuickCheck.Arbitrary.$fArbitrarySeq1",1)
("Test.QuickCheck.Arbitrary.$fArbitrarySeq_$cshrink",1)
("Test.QuickCheck.Arbitrary.$fCoArbitrary(,,)_$ccoarbitrary",1)
("Test.QuickCheck.Arbitrary.$w$carbitrary10",1)
("Test.QuickCheck.Function.$fArbitraryFun",1)
("Test.QuickCheck.Function.$fShowFun",1)
("Test.QuickCheck.Modifiers.$fArbitraryNonNegative_$cshrink",1)
("Test.QuickCheck.Modifiers.$fArbitraryPositive",1)
("Test.QuickCheck.Modifiers.$fArbitraryPositive_$cshrink",1)
("Test.QuickCheck.Modifiers.$fArbitrarySmall",1)
("Test.QuickCheck.Modifiers.$fNumSmall",1)
("Test.QuickCheck.Modifiers.$fOrdPositive",1)
("Test.QuickCheck.Modifiers.$fOrdPositive_$cp1Ord",1)
("Test.QuickCheck.Modifiers.$fOrdSmall",1)
("Test.QuickCheck.Modifiers.$fShowPositive",1)
("Test.QuickCheck.Modifiers.$fShowPositive_$cshowsPrec",1)
("Test.QuickCheck.Modifiers.$fShowSmall",1)
("Test.QuickCheck.Property.mapSize1",1)
("Test.Tasty.Options.OptionValue",1)
("Text.PrettyPrint.Annotated.HughesPJ.$fNFDataDoc_$crnf",1)
("Text.Regex.TDFA.NewDFA.Engine.execMatch",1)
("Trie.lookupPath",1)
("UtilsBench.billTo",1)
("abortIfBlocked",1)
("absAppN",1)
("abstractT",1)
("addCoercions",1)
("addUniqueInts",1)
("aeson-2.2.0.0-KcH800TS6us8tZ6AZDtIQh:Data.Aeson.Types.ToJSON.$fToJSONKeyList_$ctoJSONList",1)
("altM1",1)
("alterPrecondition",1)
("annotateDecls",1)
("annotateExpr",1)
("anyListT",1)
("applyModalityToContextFunBody",1)
("applyQuantityToJudgement",1)
("auto",1)
("biMapInvariant",1)
("binary-0.8.9.1:Data.Binary.Class.$fBinaryIntMap2",1)
("binary-0.8.9.1:Data.Binary.Class.$fBinaryList",1)
("binary-0.8.9.1:Data.Binary.Class.$fBinaryList1",1)
("bindN1",1)
("blankNotInScope",1)
("boundedSizeMetaHook",1)
("buildSubstitution",1)
("builtinLevelKit",1)
("checkModality",1)
